Yield,Fat,Protein,Conductivity,Lactose,Scc,Blood,Result
37974,4.37,3.05,8.7,4.99,311215,0.0,1.0
45371,4.08,3.31,8.5,4.72,1207526,0.04,0.0
40364,3.18,2.74,8.9,4.64,156491,0.0,0.0
45938,2.98,2.92,9.3,4.73,161443,0.0,0.0
48525,3.16,2.91,9.5,4.7,25921937,0.0,1.0
49112,2.86,2.94,9.2,4.52,202209,0.0,1.0
33294,4.31,3.05,8.7,4.83,580478,0.01,1.0
50906,4.16,2.88,8.8,4.73,376871,0.01,1.0
45630,3.36,2.76,9.0,4.47,12326433,0.01,0.0
41620,3.69,2.74,9.1,4.68,13624719,0.01,0.0
47289,4.55,3.08,9.3,4.66,62482163,0.06,0.0
42769,3.94,3.02,10.5,4.74,592217,0.01,1.0
49637,3.51,2.73,9.6,4.44,19002425,0.03,0.0
45977,3.8,2.97,9.3,4.49,14469854,0.04,0.0
47652,3.95,3.0,9.5,4.57,26644636,0.04,0.0
32107,3.9,2.91,5.9,4.76,4763828,0.0,0.0
48731,3.83,2.85,8.8,4.83,1060337,0.0,1.0
34851,3.47,2.88,5.8,4.9,704157,0.0,0.0
49520,3.83,2.9,8.8,4.94,110085,0.0,0.0
49594,3.77,3.12,8.9,4.44,35075412,0.03,1.0
48869,4.5,3.07,8.7,4.7,395127,0.02,1.0
57887,4.16,2.81,8.9,4.8,38021,0.0,0.0
58648,4.57,2.86,8.7,4.9,4386628,0.0,0.0
52834,4.49,2.76,9.1,4.83,125833,0.0,0.0
47362,4.89,2.82,8.5,4.83,461743,0.0,1.0
32925,3.95,3.12,6.1,4.71,765621,0.01,0.0
52130,3.9,2.97,9.4,4.67,11934228,0.04,1.0
38200,4.34,3.06,6.1,4.64,28364053,0.05,0.0
55311,3.74,2.91,9.4,4.62,80397511,0.0,0.0
66583,4.02,3.07,8.4,4.44,27001652,0.05,0.0
52319,4.6,3.3,9.7,4.49,6098255,0.02,1.0
32798,3.88,2.99,11.0,4.38,48872629,0.04,1.0
28065,3.89,3.03,5.7,4.65,2802403,0.02,1.0
20433,4.12,3.03,5.8,4.76,642,0.01,0.0
24250,2.89,3.05,9.1,4.78,1384787,0.0,0.0
39061,3.83,3.15,8.3,4.63,5068034,0.01,1.0
47297,4.22,2.7,8.7,4.68,2033766,0.0,1.0
31820,3.98,2.77,5.8,4.77,73306529,0.0,0.0
33792,4.52,2.85,5.7,4.88,4260716,0.0,1.0
40184,4.01,3.15,9.1,4.8,1459118,0.0,0.0
35227,3.95,3.14,8.5,4.77,966281,0.0,0.0
21959,3.86,3.24,5.9,4.45,85010,0.01,1.0
52880,3.98,3.22,9.1,4.56,1357864,0.04,0.0
44841,2.51,1.95,9.1,2.74,125976,0.02,1.0
42239,4.44,2.93,8.9,4.87,6562779,0.02,0.0
43164,4.48,2.93,8.7,4.92,22489,0.04,0.0
47526,4.02,3.18,8.9,4.55,9770321,0.06,0.0
36100,4.73,3.3,8.5,4.63,1470753,0.04,1.0
48639,4.03,3.08,9.3,4.56,2521499,0.03,1.0
35802,3.79,3.14,9.3,4.82,1026261,0.01,0.0
46249,2.89,2.82,9.3,4.5,602090,0.01,1.0
34209,3.27,2.97,6.3,4.49,6366511,0.03,0.0
42154,3.98,3.0,9.4,4.69,5624268,0.0,1.0
37931,3.98,3.1,9.0,4.67,292167699,0.0,0.0
52294,4.43,3.33,8.9,4.49,2332096,0.04,0.0
41949,3.69,3.41,9.3,4.38,38171706,0.03,0.0
43958,3.54,3.32,9.2,4.38,1394547,0.05,0.0
58193,4.12,2.71,8.9,4.71,238755921,0.03,0.0
51039,4.14,2.99,9.0,4.73,211767,0.01,0.0
45160,4.73,2.88,8.4,4.78,1910595,0.02,0.0
27911,5.58,3.28,9.2,4.78,772006,0.0,0.0
44096,4.57,2.98,9.1,4.73,2775568,0.0,0.0
44457,3.43,2.99,9.8,4.51,1614825,0.01,0.0
42983,3.03,3.24,10.1,4.4,255099572,0.02,0.0
43863,3.45,3.17,9.8,4.42,620694,0.02,0.0
42948,3.51,3.19,9.6,4.48,37903840,0.01,0.0
26796,3.47,3.24,6.5,4.25,1046721,0.04,0.0
38811,3.68,3.34,9.8,4.34,36098424,0.04,0.0
20835,3.98,3.34,6.1,4.29,2120728,0.03,0.0
35515,3.77,2.81,8.8,4.84,6501715,0.0,0.0
46452,4.24,3.4,8.5,4.67,958394,0.02,0.0
40566,4.38,3.32,8.2,4.73,386810,0.0,0.0
44818,4.51,2.94,8.3,4.81,8230993,0.02,0.0
42005,4.78,3.09,7.8,4.82,3950283,0.03,1.0
42389,3.46,2.81,8.1,4.75,11629780,0.0,0.0
31154,3.52,3.17,10.3,4.44,4182062,0.03,1.0
43432,3.38,2.93,9.6,4.61,17398963,0.02,0.0
37196,4.0,3.13,9.7,4.58,4998924,0.43,0.0
32656,3.71,3.15,12.1,4.42,2632114,0.07,0.0
47952,4.52,3.21,8.2,4.8,1032470,0.02,1.0
42868,3.65,2.94,8.8,4.73,1609770,0.0,0.0
53408,3.78,3.04,8.4,4.73,3094431,0.02,0.0
46524,2.89,2.79,10.3,4.75,1508859,0.01,0.0
36460,4.45,3.12,8.2,4.75,1306953,0.0,0.0
47239,4.13,2.94,8.5,4.89,221528,0.0,0.0
45761,3.83,3.08,9.7,4.52,190051939,0.01,0.0
40077,3.63,3.05,10.3,4.5,901726021,0.01,0.0
41621,3.62,3.03,9.4,4.7,38857615,0.0,0.0
33460,3.77,2.66,6.0,4.67,1120641,0.0,0.0
53228,4.24,3.16,8.6,4.72,918843,0.03,0.0
57712,3.7,2.93,9.4,4.76,34064438,0.0,1.0
30290,4.28,2.75,8.5,4.81,2991358,0.02,1.0
53877,3.09,3.1,9.6,3.95,19597060,0.08,1.0
39794,4.07,3.23,8.6,4.61,7955500,0.02,0.0
35415,4.26,3.25,8.9,4.54,1252542,0.01,0.0
43874,3.57,2.97,9.5,4.66,9669125,0.02,0.0
46047,3.81,3.0,9.0,4.6,3810822,0.01,0.0
37975,3.85,3.1,9.6,4.64,2671070,0.02,1.0
47436,3.46,3.09,9.3,4.71,1499493,0.0,1.0
37405,4.29,3.35,8.2,4.28,2189378,0.05,0.0
38211,3.92,3.3,8.8,4.52,67613865,0.02,1.0
51037,3.18,3.04,9.3,4.58,41959718,0.0,1.0
51960,4.35,2.78,8.6,4.73,10513579,0.0,0.0
49675,3.93,2.98,9.2,4.45,721121,0.03,0.0
41337,3.94,3.17,9.4,4.5,7114783,0.04,0.0
46051,3.89,3.02,9.2,4.41,896112,0.04,1.0
58733,3.62,3.5,9.3,4.26,344383687,0.04,0.0
55272,3.87,3.33,9.6,4.32,3943509,0.02,0.0
29935,3.76,3.1,9.9,4.62,849300,0.01,1.0
23017,3.87,2.87,5.6,4.81,2434172,0.0,1.0
54413,4.27,2.8,8.6,4.87,9592393,0.0,0.0
53787,4.09,2.93,8.9,4.87,203624,0.0,0.0
51994,4.07,2.82,8.7,4.66,3747195,0.02,0.0
44929,4.31,2.96,8.0,4.76,14421780,0.0,0.0
43109,4.52,3.33,9.0,4.18,244351071,0.09,0.0
46171,4.28,3.33,8.8,4.15,108944957,0.1,0.0
51559,4.12,3.41,8.8,4.26,70025139,0.04,0.0
52611,3.78,3.31,8.8,4.6,3286326,0.01,0.0
56016,4.34,3.22,9.2,4.73,371327,0.0,0.0
51077,3.26,2.97,8.7,4.61,317167,0.0,1.0
23976,4.69,3.1,9.1,4.72,878434,0.0,1.0
35451,4.19,3.23,9.0,4.47,1062467,0.04,1.0
43394,3.37,3.27,8.6,4.62,383378,0.0,0.0
35068,3.63,3.13,6.2,4.55,15710524,0.01,0.0
34746,3.93,3.3,6.4,4.58,4462232,0.02,0.0
56049,3.92,3.19,9.1,4.62,2297023,0.0,1.0
40982,3.57,2.89,8.5,4.89,4967596,0.08,0.0
